Betreiber;Art der Ladeeinrichung;Anzahl Ladepunkte;Steckertypen1;Steckertypen2;Steckertypen3;Steckertypen4;P1 [kW];P2 [kW];P3 [kW];P4 [kW];Nennleistung Ladeeinrichtung [kW];Kreis/kreisfreie Stadt;Ort;Postleitzahl;Straße;Hausnummer;Adresszusatz;Inbetriebnahmedatum;koordinaten;Anzeigename (Karte);Steckertypen5;P5 [kW];Public Key5;Steckertypen6;P6 [kW];Public Key6
Karin Kreidemeier;Normalladeeinrichtung;1.0;AC Typ 2 Fahrzeugkupplung;;;;11.0;;;;11.0;Landkreis Hohenlohekreis;Dörzbach;74677;Zwetschgenrain;4;;;49.38324, 9.712437;;;;;;;
TotalEnergies Charging Solutions Deutschland GmbH;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;22.0;Landkreis Hohenlohekreis;Weißbach;74679;Salinenstr.;1;;;49.296503, 9.590794;TotalEnergies Charging Solutions;;;;;;
EnBW mobility+ AG und Co.KG;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;30.0;Landkreis Karlsruhe;Wiesental;68753;Phillipsburgerstraße;1;;;49.225891, 8.517717;;;;;;;
EnBW mobility+ AG und Co.KG;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;30.0;Landkreis Karlsruhe;Waghäusel;68753;Obere Bachstraße;1;;;49.242829, 8.544855;;;;;;;
Energie- und Wasserversorgung Bruchsal GmbH;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;44.0;Landkreis Karlsruhe;Waghäusel;68753;Mannheimer Straße;15;;;49.224731, 8.519492;;;;;;;
Pfalzwerke AG;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;22.0;Landkreis Karlsruhe;Waghäusel;68753;Hambrücker Landstraße;7-9;;;49.212, 8.52762;Pfalzwerke AG;;;;;;
MVV Energie AG;Schnellladeeinrichtung;2.0;DC Fahrzeugkupplung Typ Combo 2 (CCS);DC Fahrzeugkupplung Typ Combo 2 (CCS);;;50.0;50.0;;;50.0;Landkreis Karlsruhe;Waghäusel;68753;Lorenz-Brentano-Allee;4;;;49.250023, 8.5074;;;;;;;
MASEG GmbH;Normalladeeinrichtung;1.0;AC Typ 2 Fahrzeugkupplung;;;;22.0;;;;22.0;Landkreis Karlsruhe;Waghäusel;68753;Franz-Sigel-Str.;23;;;49.24463, 8.49944;;;;;;;
Alexander Rolli;Normalladeeinrichtung;1.0;AC Typ 2 Fahrzeugkupplung;;;;11.0;;;;11.0;Landkreis Karlsruhe;Waghäusel;68753;Heidelberger Straße;9;;;49.248139, 8.548185;;;;;;;
Wirsol Aufdach GmbH;Normalladeeinrichtung;2.0;AC Typ 2 Fahrzeugkupplung;AC Typ 2 Fahrzeugkupplung;;;11.0;11.0;;;11.0;Landkreis Karlsruhe;Waghäusel;68753;Schwetzinger Str.;22-26;;;49.245966, 8.542274;;;;;;;
Wirsol Aufdach GmbH;Normalladeeinrichtung;2.0;AC Typ 2 Fahrzeugkupplung;AC Typ 2 Fahrzeugkupplung;;;11.0;11.0;;;11.0;Landkreis Karlsruhe;Waghäusel;68753;Schwetzinger Str.;22-26;;;49.245924, 8.542275;;;;;;;
Energie- und Wasserversorgung Bruchsal GmbH;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;44.0;Landkreis Karlsruhe;Bretten;75015;Silcherweg;1;;;49.038383, 8.691395;;;;;;;
Lidl Dienstleistung GmbH & Co. KGe;Schnellladeeinrichtung;3.0;"AC Typ 2 Steckdose; AC Typ 2 Fahrzeugkupplung";"AC Typ 2 Fahrzeugkupplung; DC Fahrzeugkupplung Typ Combo 2 (CCS)";"AC Typ 2 Fahrzeugkupplung; DC CHAdeMO";;22.0;50.0;50.0;;75.0;Landkreis Karlsruhe;Bretten;75015;Melanchthonstr.;91;LDE_6274_12323900030020;;49.038656, 8.69636;Lidl;;;;;;
Parkraumgesellschaft Baden-Württemberg GmbH;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;22.0;Landkreis Karlsruhe;Bretten;75015;Weißhofer Str.;47;;;49.036056, 8.711878;;;;;;;
S&G Automobil AG;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;11.0;11.0;;;22.0;Landkreis Karlsruhe;Bretten;75015;Gondelsheimer Str.;17;;;49.041989, 8.67306;;;;;;;
Graf Hardenberg GmbH;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;11.0;;;33.0;Landkreis Karlsruhe;Bretten;75015;Alexanderplatz;1;;;49.037749, 8.688658;;;;;;;
Sparkasse Kraichgau Bruchsal-Bretten-Sinsheim AdöR;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;44.0;Landkreis Karlsruhe;Bretten;75015;Engelsberg;6-8;;;49.03766, 8.70717;;;;;;;
EnBW mobility+ AG und Co.KG;Normalladeeinrichtung;2.0;"AC Typ 2 Steckdose; AC Schuko";"AC Typ 2 Steckdose; AC Schuko";;;22.0;22.0;;;44.0;Landkreis Karlsruhe;Oberderdingen;75038;Dr.-Friedrich-Schmitt-Straße;22;;;49.062459, 8.7975;;;;;;;
Shell Deutschland GmbH;Schnellladeeinrichtung;2.0;DC Fahrzeugkupplung Typ Combo 2 (CCS);DC Fahrzeugkupplung Typ Combo 2 (CCS);;;150.0;150.0;;;150.0;Landkreis Karlsruhe;Walzbachtal;75045;Wössinger Str.;136;;;49.01768, 8.598392;;;;;;;
EnBW Ostwürttemberg DonauRies AG;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;30.0;Landkreis Karlsruhe;Walzbachtal;75045;Kirchplatz;2;Gemeinde Walzbachtal - Jöhlingen;;49.032576, 8.573511;EnBW ODR AG;;;;;;
Lidl Dienstleistung GmbH & Co. KGe;Schnellladeeinrichtung;3.0;AC Typ 2 Steckdose;DC Fahrzeugkupplung Typ Combo 2 (CCS);DC Fahrzeugkupplung Typ Combo 2 (CCS);;22.0;30.0;30.0;;72.0;Landkreis Karlsruhe;Walzbachtal;75045;Wössinger Str.;136;Lidl_6874_T65-IT1-0523-128;;49.017538, 8.599462;Lidl;;;;;;
Energie- und Wasserversorgung Bruchsal GmbH;Normalladeeinrichtung;2.0;"AC Typ 2 Steckdose; AC Schuko";"AC Typ 2 Steckdose; AC Schuko";;;22.0;22.0;;;44.0;Landkreis Karlsruhe;Gondelsheim;75053;Bruchsaler Straße;32;;;49.061302, 8.657436;;;;;;;
Energie- und Wasserversorgung Bruchsal GmbH;Normalladeeinrichtung;2.0;"AC Typ 2 Steckdose; AC Schuko";"AC Typ 2 Steckdose; AC Schuko";;;22.0;22.0;;;44.0;Landkreis Karlsruhe;Gondelsheim;75053;Bruchsaler Straße;81;;;49.06693, 8.657123;;;;;;;
Citywatt GmbH;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;44.0;Landkreis Karlsruhe;Sulzfeld;75056;Mühlhohlstraße;7;;;49.10739, 8.850335;Citywatt GmbH;;;;;;
Energie- und Wasserversorgung Bruchsal GmbH;Normalladeeinrichtung;2.0;"AC Typ 2 Steckdose; AC Schuko";AC Typ 2 Steckdose;;;22.0;22.0;;;44.0;Landkreis Karlsruhe;Sulzfeld;75056;Rathausplatz;1;;;49.1015, 8.85898;;;;;;;
Energie- und Wasserversorgung Bruchsal GmbH;Normalladeeinrichtung;2.0;"AC Typ 2 Steckdose; AC Schuko";"AC Typ 2 Steckdose; AC Schuko";;;22.0;22.0;;;44.0;Landkreis Karlsruhe;Zaisenhausen;75059;Hauptstraße;97;;;49.107446, 8.816939;;;;;;;
Energie- und Wasserversorgung Bruchsal GmbH;Normalladeeinrichtung;2.0;"AC Typ 2 Steckdose; AC Schuko";"AC Typ 2 Steckdose; AC Schuko";;;22.0;22.0;;;44.0;Landkreis Karlsruhe;Zaisenhausen;75059;Bahnhofstraße;0;(FlSt 9116/1);;49.105237, 8.817233;;;;;;;
EWE Go GmbH;Schnellladeeinrichtung;2.0;DC Fahrzeugkupplung Typ Combo 2 (CCS);DC Fahrzeugkupplung Typ Combo 2 (CCS);;;160.0;160.0;;;160.0;Landkreis Karlsruhe;Ettlingen;76275;Pforzheimer Straße;72;;;48.937478, 8.419749;EWE Go GmbH;;;;;;
EnBW mobility+ AG und Co.KG;Normalladeeinrichtung;2.0;"AC Typ 2 Steckdose; AC Schuko";"AC Typ 2 Steckdose; AC Schuko";;;22.0;22.0;;;30.0;Landkreis Karlsruhe;Ettlingen;76275;Siemensstraße;9;;;48.939363, 8.378597;;;;;;;
Claus Heinemann Elektroanlagen GmbH;Normalladeeinrichtung;4.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;AC Typ 2 Steckdose;AC Typ 2 Steckdose;11.0;11.0;11.0;11.0;11.0;Landkreis Karlsruhe;Ettlingen;76275;Thebauthstr.;1;;;48.939386, 8.409663;ChargeOne;;;;;;
next step mobility GmbH;Normalladeeinrichtung;2.0;"AC Typ 2 Steckdose; AC Schuko";"AC Typ 2 Steckdose; AC Schuko";;;22.0;22.0;;;30.0;Landkreis Karlsruhe;Ettlingen;76275;Sibyllastraße;0;;;48.939652, 8.405896;;;;;;;
next step mobility GmbH;Normalladeeinrichtung;2.0;"AC Typ 2 Steckdose; AC Schuko";"AC Typ 2 Steckdose; AC Schuko";;;22.0;22.0;;;30.0;Landkreis Karlsruhe;Ettlingen;76275;Middelkerkerstraße;0;;;48.937277, 8.399829;;;;;;;
next step mobility GmbH;Normalladeeinrichtung;2.0;"AC Typ 2 Steckdose; AC Schuko";"AC Typ 2 Steckdose; AC Schuko";;;22.0;22.0;;;30.0;Landkreis Karlsruhe;Ettlingen;76275;Rastatter Straße;13;;;48.93987, 8.403615;;;;;;;
next step mobility GmbH;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;22.0;Landkreis Karlsruhe;Ettlingen;76275;Pforzheimer Straße;134;;;48.933892, 8.439251;;;;;;;
next step mobility GmbH;Normalladeeinrichtung;4.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;AC Typ 2 Steckdose;AC Typ 2 Steckdose;22.0;22.0;22.0;22.0;22.0;Landkreis Karlsruhe;Ettlingen;76275;Pforzheiner Straße;162;;;48.93393, 8.441646;;;;;;;
next step mobility GmbH;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;22.0;Landkreis Karlsruhe;Ettlingen;76275;Pforzheimer Straße;134b;;;48.93379, 8.440005;;;;;;;
Stadtwerke Ettlingen GmbH;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;44.0;Landkreis Karlsruhe;Ettlingen;76275;Odertalweg;5;;;48.950274, 8.385188;SWE;;;;;;
Stadtwerke Ettlingen GmbH;Normalladeeinrichtung;2.0;"AC Typ 2 Steckdose; AC Schuko";"AC Typ 2 Steckdose; AC Schuko";;;22.0;22.0;;;44.0;Landkreis Karlsruhe;Ettlingen;76275;RichardWagnerStraße;2729;;;48.924631, 8.365972;SWE;;;;;;
Stadtwerke Ettlingen GmbH;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Karlsruhe;Ettlingen;76275;Hertzstr.;33;(re);;48.937302, 8.381096;SWE;;;;;;
Stadtwerke Ettlingen GmbH;Normalladeeinrichtung;2.0;"AC Typ 2 Steckdose; AC Schuko";"AC Typ 2 Steckdose; AC Schuko";;;22.0;22.0;;;30.0;Landkreis Karlsruhe;Ettlingen;76275;Pforzheimerstr.;130;;;48.93479, 8.440453;SWE;;;;;;
Stadtwerke Ettlingen GmbH;Normalladeeinrichtung;2.0;"AC Typ 2 Steckdose; AC Schuko";"AC Typ 2 Steckdose; AC Schuko";;;22.0;22.0;;;44.0;Landkreis Karlsruhe;Ettlingen;76275;Seestr.;40;;;48.92437, 8.374777;SWE;;;;;;
Ungeheuer Automobile GmbH;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;11.0;11.0;;;22.0;Landkreis Karlsruhe;Ettlingen;76275;Hertzstr.;31;;;48.93823, 8.38169;;;;;;;
Koray Karakurt;Normalladeeinrichtung;1.0;AC Typ 2 Fahrzeugkupplung;;;;3.0;;;;3.0;Landkreis Karlsruhe;Ettlingen;76275;Lüdersstraße;1;;;48.95112, 8.401907;;;;;;;
EnBW Ostwürttemberg DonauRies AG;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;22.0;Landkreis Karlsruhe;Ettlingen;76275;Siemensstr.;9;Erdgas Südwest - Gäste & Besucher;;48.939055, 8.378343;EnBW ODR AG;;;;;;
Stadthotel Engel;Normalladeeinrichtung;1.0;"AC Typ 2 Steckdose; AC Typ 2 Fahrzeugkupplung";;;;22.0;;;;22.0;Landkreis Karlsruhe;Ettlingen;76275;Kronenstraße;13;Hotel Engel GmbH;;48.94266, 8.40869;;;;;;;
Richard Gramling GmbH & Co. KG;Normalladeeinrichtung;1.0;AC Typ 2 Fahrzeugkupplung;;;;22.0;;;;22.0;Landkreis Karlsruhe;Ettlingen;76275;Schöllbroner Str.;23a;;;48.562223, 8.244758;;;;;;;
Shell Deutschland GmbH;Schnellladeeinrichtung;2.0;DC Fahrzeugkupplung Typ Combo 2 (CCS);DC Fahrzeugkupplung Typ Combo 2 (CCS);;;300.0;300.0;;;300.0;Landkreis Karlsruhe;Rheinstetten;76287;An der B36;36;;;48.954675, 8.293246;;;;;;;
Pfalzwerke AG;Schnellladeeinrichtung;2.0;AC Typ 2 Steckdose;DC Fahrzeugkupplung Typ Combo 2 (CCS);;;22.0;50.0;;;72.0;Landkreis Karlsruhe;Rheinstetten;76287;Hertzstraße;2;;;48.962734, 8.280926;Pfalzwerke AG;;;;;;
next step mobility GmbH;Normalladeeinrichtung;2.0;"AC Typ 2 Steckdose; AC Schuko";"AC Typ 2 Steckdose; AC Schuko";;;22.0;22.0;;;30.0;Landkreis Karlsruhe;Rheinstetten;76287;Badener Straße;1;;;48.959261, 8.294988;;;;;;;
next step mobility GmbH;Normalladeeinrichtung;2.0;"AC Typ 2 Steckdose; AC Schuko";"AC Typ 2 Steckdose; AC Schuko";;;22.0;22.0;;;30.0;Landkreis Karlsruhe;Rheinstetten;76287;Vogesenstraße;22;Station 1;;48.979439, 8.315691;;;;;;;
next step mobility GmbH;Normalladeeinrichtung;2.0;"AC Typ 2 Steckdose; AC Schuko";"AC Typ 2 Steckdose; AC Schuko";;;22.0;22.0;;;30.0;Landkreis Karlsruhe;Rheinstetten;76287;Vogesenstraße;22;Station 2;;48.979438, 8.31576;;;;;;;
next step mobility GmbH;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;30.0;Landkreis Karlsruhe;Rheinstetten;76287;Rosenstraße;57;;;48.978281, 8.309928;;;;;;;
Kemmergy GmbH;Normalladeeinrichtung;4.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;AC Typ 2 Steckdose;AC Typ 2 Steckdose;22.0;22.0;22.0;22.0;22.0;Landkreis Karlsruhe;Rheinstetten;76287;Nell-Breuning-Ring;23;Styles Hotel Karlsruhe Messe;;48.98038, 8.32348;;;;;;;
next step mobility GmbH;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;30.0;Landkreis Karlsruhe;Rheinstetten;76287;Hauptstr.;11;;;48.975808, 8.308235;;;;;;;
Judith Hörger;Normalladeeinrichtung;1.0;AC Typ 2 Fahrzeugkupplung;;;;11.0;;;;11.0;Landkreis Karlsruhe;Rheinstetten;76287;Marie-Curie-Str.;29;;;48.961811, 8.292246;;;;;;;
EnBW mobility+ AG und Co.KG;Normalladeeinrichtung;2.0;"AC Typ 2 Steckdose; AC Schuko";"AC Typ 2 Steckdose; AC Schuko";;;22.0;22.0;;;30.0;Landkreis Karlsruhe;Stutensee;76297;Heinrich Heine Str.;0;;;49.112831, 8.50452;;;;;;;
EnBW mobility+ AG und Co.KG;Normalladeeinrichtung;2.0;"AC Typ 2 Steckdose; AC Schuko";"AC Typ 2 Steckdose; AC Schuko";;;22.0;22.0;;;30.0;Landkreis Karlsruhe;Stutensee;76297;Schulstr.;0;Schulstr. / Rathausstr.;;49.066231, 8.470181;;;;;;;
Alexander Borell;Normalladeeinrichtung;1.0;AC Typ 2 Fahrzeugkupplung;;;;11.0;;;;11.0;Landkreis Karlsruhe;Stutensee;76297;Langeäckerweg;8;;;49.066587, 8.463872;;;;;;;
Jochen Lehmann;Normalladeeinrichtung;1.0;AC Typ 2 Fahrzeugkupplung;;;;11.0;;;;11.0;Landkreis Karlsruhe;Stutensee;76297;Kandelstr.;1;;;49.046488, 8.462647;;;;;;;
EnBW mobility+ AG und Co.KG;Normalladeeinrichtung;2.0;"AC Typ 2 Steckdose; AC Schuko";"AC Typ 2 Steckdose; AC Schuko";;;22.0;22.0;;;30.0;Landkreis Karlsruhe;Karlsbad;76307;Hauptstraße;17;;;48.91495, 8.50666;;;;;;;
EnBW mobility+ AG und Co.KG;Normalladeeinrichtung;2.0;"AC Typ 2 Steckdose; AC Schuko";"AC Typ 2 Steckdose; AC Schuko";;;22.0;22.0;;;30.0;Landkreis Karlsruhe;Karlsbad;76307;Untere Grabenäcker;2;;;48.86581, 8.51003;;;;;;;
EnBW mobility+ AG und Co.KG;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;30.0;Landkreis Karlsruhe;Karlsbad;76307;Im Thäle;1;;;48.914424, 8.531671;;;;;;;
Lidl Dienstleistung GmbH & Co. KGe;Schnellladeeinrichtung;3.0;AC Typ 2 Steckdose;DC Fahrzeugkupplung Typ Combo 2 (CCS);DC Fahrzeugkupplung Typ Combo 2 (CCS);;11.0;30.0;30.0;;71.0;Landkreis Karlsruhe;Karlsbad;76307;Draisstr.;4;Lidl_4267_T65-IT1-0323-233;;48.92121, 8.501665;Lidl;;;;;;
Jan & Mirjam Hildebrandt Stromhandels GbR;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;22.0;Landkreis Karlsruhe;Karlsbad;76307;Schubertstr.;15;;;48.5425, 8.3029;;;;;;;
deer GmbH;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;44.0;Landkreis Karlsruhe;Malsch;76316;Hauptstraße;17;;;48.882287, 8.334422;;;;;;;
EnBW mobility+ AG und Co.KG;Normalladeeinrichtung;2.0;"AC Typ 2 Steckdose; AC Schuko";"AC Typ 2 Steckdose; AC Schuko";;;22.0;22.0;;;30.0;Landkreis Karlsruhe;Pfinztal;76327;Römerstraße;8;;;48.99332, 8.54475;;;;;;;
Fraunhofer-Gesellschaft e. V.;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;22.0;Landkreis Karlsruhe;Pfinztal;76327;Joseph-von-Fraunhofer-Straße;7;Fraunhofer ICT;;49.016726, 8.517618;;;;;;;
EnBW mobility+ AG und Co.KG;Normalladeeinrichtung;2.0;"AC Typ 2 Steckdose; AC Typ 2 Fahrzeugkupplung";"AC Typ 2 Steckdose; AC Typ 2 Fahrzeugkupplung";;;22.0;22.0;;;30.0;Landkreis Karlsruhe;Waldbronn;76337;Hewlett-Packard-Str.;8;;;48.932479, 8.475944;;;;;;;
EnBW mobility+ AG und Co.KG;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;30.0;Landkreis Karlsruhe;Waldbronn;76337;Etzenroter Str.;2;;;48.92112, 8.474927;;;;;;;
EnBW mobility+ AG und Co.KG;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;30.0;Landkreis Karlsruhe;Waldbronn;76337;Im Ermlisgrund;3;;;48.933011, 8.478855;;;;;;;
ALDI SÜD Immobilienverwaltungs-GmbH & Co. oHG;Schnellladeeinrichtung;2.0;DC Fahrzeugkupplung Typ Combo 2 (CCS);DC Fahrzeugkupplung Typ Combo 2 (CCS);;;50.0;50.0;;;50.0;Landkreis Karlsruhe;Waldbronn;76337;Talstr.;10;;;48.930056, 8.474333;ALDI SÜD;;;;;;
Stadtwerke Ettlingen GmbH;Normalladeeinrichtung;2.0;"AC Typ 2 Steckdose; AC Schuko";"AC Typ 2 Steckdose; AC Schuko";;;22.0;22.0;;;30.0;Landkreis Karlsruhe;Waldbronn;76337;Waldring;1;;;48.92318, 8.475912;SWE;;;;;;
On Charge GmbH;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;44.0;Landkreis Karlsruhe;Waldbronn;76337;Almenweg;3;;;48.926295, 8.483532;;;;;;;
EnBW mobility+ AG und Co.KG;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;30.0;Landkreis Karlsruhe;Eggenstein-Leopoldshafen;76344;Hermann-von-Helmholtz-Platz;1;;;49.09185, 8.42848;;;;;;;
CION;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;11.0;11.0;;;11.0;Landkreis Karlsruhe;Eggenstein-Leopoldshafen;76344;Schubertstr.;10;;;49.078876, 8.391583;;;;;;;
deer GmbH;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;44.0;Landkreis Karlsruhe;Linkenheim-Hochstetten;76351;Am Nebenbruch;5;;;49.140696, 8.40907;;;;;;;
deer GmbH;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;44.0;Landkreis Karlsruhe;Linkenheim-Hochstetten;76351;Blankenlocher Str.;3;;;49.119452, 8.410005;;;;;;;
Pfalzwerke AG;Schnellladeeinrichtung;2.0;AC Typ 2 Steckdose;DC Fahrzeugkupplung Typ Combo 2 (CCS);;;22.0;50.0;;;72.0;Landkreis Karlsruhe;Weingarten;76356;Durlacher Str.;86;;;49.045014, 8.526036;Pfalzwerke AG;;;;;;
Denis Jakel;Normalladeeinrichtung;1.0;AC Typ 2 Fahrzeugkupplung;;;;11.0;;;;11.0;Landkreis Karlsruhe;Weingarten (Baden);76356;Lärchenweg;35;;;49.064017, 8.510803;;;;;;;
GreenCharge GmbH;Schnellladeeinrichtung;2.0;DC Fahrzeugkupplung Typ Combo 2 (CCS);AC Typ 2 Steckdose;;;50.0;22.0;;;72.0;Landkreis Karlsruhe;Bruchsal;76646;Stutgarter Str.;4;;;49.096169, 8.642018;;;;;;;
EnBW mobility+ AG und Co.KG;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;30.0;Landkreis Karlsruhe;Bruchsal;76646;Reserveallee;5;;;49.128604, 8.601133;;;;;;;
Energie- und Wasserversorgung Bruchsal GmbH;Normalladeeinrichtung;2.0;"AC Typ 2 Steckdose; AC Schuko";"AC Typ 2 Steckdose; AC Schuko";;;22.0;22.0;;;44.0;Landkreis Karlsruhe;Bruchsal;76646;Seilersbahn;0;(FlSt 247);;49.123303, 8.601246;;;;;;;
Energie- und Wasserversorgung Bruchsal GmbH;Normalladeeinrichtung;2.0;"AC Typ 2 Steckdose; AC Schuko";"AC Typ 2 Steckdose; AC Schuko";;;22.0;22.0;;;44.0;Landkreis Karlsruhe;Bruchsal;76646;Kaiserstraße;0;;;49.126519, 8.594346;;;;;;;
Energie- und Wasserversorgung Bruchsal GmbH;Normalladeeinrichtung;2.0;"AC Typ 2 Steckdose; AC Schuko";"AC Typ 2 Steckdose; AC Schuko";;;22.0;22.0;;;44.0;Landkreis Karlsruhe;Bruchsal-Heidelsheim;76646;Badener Straße;0;(FlSt 638/1);;49.100332, 8.644936;;;;;;;
Energie- und Wasserversorgung Bruchsal GmbH;Normalladeeinrichtung;2.0;"AC Typ 2 Steckdose; AC Schuko";"AC Typ 2 Steckdose; AC Schuko";;;22.0;22.0;;;44.0;Landkreis Karlsruhe;Bruchsal;76646;Luisenstraße;0;(FlSt 18740);;49.125035, 8.593608;;;;;;;
Energie- und Wasserversorgung Bruchsal GmbH;Normalladeeinrichtung;2.0;"AC Typ 2 Steckdose; AC Schuko";"AC Typ 2 Steckdose; AC Schuko";;;22.0;22.0;;;44.0;Landkreis Karlsruhe;Bruchsal;76646;Campus;1;;;49.116932, 8.59103;;;;;;;
Energie- und Wasserversorgung Bruchsal GmbH;Normalladeeinrichtung;2.0;"AC Typ 2 Steckdose; AC Schuko";"AC Typ 2 Steckdose; AC Schuko";;;22.0;22.0;;;44.0;Landkreis Karlsruhe;Bruchsal;76646;Schwetzingerstraße;7;;;49.134853, 8.589586;;;;;;;
Energie- und Wasserversorgung Bruchsal GmbH;Normalladeeinrichtung;1.0;"AC Typ 2 Steckdose; AC Schuko";;;;22.0;;;;22.0;Landkreis Karlsruhe;Bruchsal;76646;John-Bopp-Straße;26;;;49.123634, 8.597425;;;;;;;
Energie- und Wasserversorgung Bruchsal GmbH;Normalladeeinrichtung;2.0;"AC Typ 2 Steckdose; AC Schuko";"AC Typ 2 Steckdose; AC Schuko";;;22.0;22.0;;;44.0;Landkreis Karlsruhe;Bruchsal;76646;Tunnelstr.;9;;;49.120822, 8.598498;;;;;;;
Lidl Dienstleistung GmbH & Co. KGe;Schnellladeeinrichtung;3.0;"AC Typ 2 Steckdose; AC Typ 2 Fahrzeugkupplung";"AC Typ 2 Fahrzeugkupplung; DC Fahrzeugkupplung Typ Combo 2 (CCS)";"AC Typ 2 Fahrzeugkupplung; DC CHAdeMO";;50.0;50.0;44.0;;93.0;Landkreis Karlsruhe;Bruchsal;76646;Eisenbahnstr.;1;LDE_6267_T54-HU1-3419-010;;49.120561, 8.58196;Lidl;;;;;;
S&G Automobil AG;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;11.0;11.0;;;22.0;Landkreis Karlsruhe;Bruchsal;76646;Stegwiesenstraße;5;;;49.136998, 8.59192;;;;;;;
Ritzerfeld Vermietungs- & Gruncstücksverwaltungs GmbHL;Normalladeeinrichtung;2.0;AC Typ 2 Fahrzeugkupplung;AC Typ 2 Fahrzeugkupplung;;;11.0;11.0;;;22.0;Landkreis Karlsruhe;Bruchsal;76646;Kammerforst Strasse;5b;Langnickel Logistik;;49.13639, 8.544439;Langnickel Logistik;;;;;;
smopi® - Multi Chargepoint Solution GmbH;Normalladeeinrichtung;4.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;AC Typ 2 Steckdose;AC Typ 2 Steckdose;22.0;22.0;22.0;22.0;22.0;Landkreis Karlsruhe;Bruchsal;76646;Zeiloch;14;;;49.13893, 8.586473;smopi;;;;;;
Ungeheuer Automobile GmbH;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;11.0;11.0;;;22.0;Landkreis Karlsruhe;Bruchsal;76646;Murgstr.;4;;;49.13713, 8.59276;;;;;;;
